;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
138;3062;CNO Rotterdam Erasmus;RotterdamErasmus;Burgemeester Oudlaan 50;3062 PA;Rotterdam;NA;NA;3;16;214;599;16;
115;1741;CNO Schagen;Schagen;Zuiderweg 2a;1741 NA ;Schagen;NA;NA;3;9;193;441;9;
179;6165;CNO Sittard-Geleen;SittardGeleen;Kummenaedestraat 45;6165 BT;Geleen;NA;NA;3;5;250;1883;5;
146;3362;CNO Sliedrecht;Sliedrecht;Frans Halsstraat 1;3362XA;Sliedrecht;NA;NA;3;34;35;610;20;
165;4506;CNO Sluis;Sluis;Noorddijk 3;4506 JE;Sluist (Cadzand-Bad);NA;NA;3;5;200;1714;5;
141;3245;CNO Sommelsdijk;Sommelsdijk;Olympiaweg 32;3245 DL ;Sommelsdijk;NA;NA;3;6;75;1924;0;
148;3628;CNO Stichtse Vecht;StichtseVecht;Sportweg 4;3628 AZ ;Kockengen;NA;NA;3;6;150;1904;6;
122;2215;CNO Teijlingen;Teijlingen;Jacoba van Beierenweg 118A;2215 KZ;Teijlingen (Voorhout);NA;NA;3;6;150;1525;6;
29;5013;CNO Tilburg;Tilburg2;Ringbaan Noord 7; 5013 EA;Tilburg;NA;NA;3;7;224;855;7;
194;7651;CNO Tubbergen;Tubbergen;Pastoor Bloemenstraat 1;7651 CD;Tubbergen;NA;NA;3;5;200;183;5;
176;5551;CNO Valkenswaard;Valkenswaard;Bruninckxdal 2;5551 EV;Valkenswaard;NA;NA;3;3;200;858;3;
155;3905;CNO Veenendaal;Veenendaal;Sportlaan 1-3;3905 AD ;Veenendaal;NA;NA;3;5;150;345;5;
93;9341;CNO Veenhuizen;Veenhuizen2;Bankenbosweg 2;9341 BE ;Veenhuizen;NA;NA;3;18;157;1699;9;
80;8076;CNO Vierhouten ;Vierhouten2;Het Frusselt 30;8076 RE;Vierhouten;NA;NA;3;4;40;302;4;
162;4383;CNO Vlissingen;Vlissingen;Rooseveltlaan 731;4383NG;Vlissingen;NA;NA;3;2;194;718;2;
180;6367;CNO Voerendaal;Voerendaal;Goswijnstraat 1;6367 BD;Voerendaal;NA;NA;3;4;200;986;1;
123;2251;CNO Voorschoten;Voorschoten;Burgemeester van der Haarplein 9;2251 CT;Voorschoten;NA;NA;3;7;120;626;7;
189;7383;CNO Voorst;Voorst;Rijksstraatweg 77;7383 AM ;Voorst;NA;NA;3;9;50;285;6;
195;7671;CNO Vriezenveen;Vriezenveen;Schout Doddestraat 11;7671 GT;Vriezeveen;NA;NA;3;5;200;1700;5;
210;5146;CNO Waalwijk;Waalwijk;De Gaard 2; 5146AW;Waalwijk;NA;NA;3;3;94;867;3;
132;2741;CNO Waddinxveen;Waddinxveen;Oude Dreef 4;2741 SR;Waddinxveen;NA;NA;3;5;148;627;5;
108;1241;CNO Wijdemeren;Wijdemeren;Zuidsingel 56;1241 HD;Kortenhoef;NA;NA;3;9;115;1696;9;
186;7109;CNO Winterswijk;Winterswijk2;Meenkmolenweg 13;7109 AH ;Winterswijk;NA;NA;3;12;35;294;12;
147;3446;CNO Woerden;Woerden;Steinhagenseweg 3a ;3446 GP;Woerden;NA;NA;3;6;150;632;6;
204;8711;CNO Workum;Workum;Weverswei 2;8711 GP;Workum;NA;NA;3;16;200;1900;16;
156;3931;CNO Woudenberg;Woudenberg;De Bosrand 15;3931 AP;Woudenberg;NA;NA;3;6;150;351;1;
159;4285;CNO Woudrichem;Woudrichem;Steurstraat 59a;4285 XE;Woudrichem;NA;NA;3;6;50;874;6;
175;5308;CNO Zaltbommel;Zaltbommel;Donkerstraat 19;5308 KB ;Aalst;NA;NA;3;3;50;297;3;
118;2041;CNO Zandvoort;Zandvoort;Duintjesveldweg 1A;2041 TA; Zandvoort.;NA;NA;3;8;146;473;1;
111;1474;CNO Zeevang;Zeevang;De Krommert 25;1474 PM;Oosthuizen;NA;NA;3;6;90;478;2;
149;3705;CNO Zeist;Zeist2;Huis Ter Heideweg 19;3705 MA ;Zeist;NA;NA;3;13;144;355;13;
