Locatienaam;Locatienaam_2;Adres;PC6;PC4;Plaats;Soort;Cap_Gem;Duur
CNO Olst-Wije;OlstWije;Hooiberglaan 11;8121 RA;8121;Olst-Wijhe (Olst);3;219;10
CNO Brummen;Brummen;Veenweg 9;8162 RJ;8162;Epe;3;20;4
CNO Epe;Epe;Hogestraat 5;8167 PS;8167;Oene;3;24;10
CNO Lelystad;Lelystad;Badweg 21;8223 PA;8223;Lelystad;3;100;7
CNO Kampen;Kampen;Burg.Berghuisplein 1;8261 DD;8261;Kampen;3;131;4
CNO Heerenveen;Heerenveen;It Hege Stik 9;8445 PZ;8445;Heerenveen;3;200;6
CNO Workum;Workum;Weverswei 2;8711 GP;8711;Workum;3;200;16
CNO Franeker;Franeker;Jan Rodenhuisplein 3;8801 ET;8801;Franeker;3;160;5
CNO Harlingen;Harlingen;Westerzeedijk 15;8862 PK ;8862;Harlingen;3;200;6
CNO Kollum;Kollum;Maartensplein 1;9291 BZ;9291;Kollum;3;100;1
CNO Veenhuizen;Veenhuizen2;Bankenbosweg 2;9341 BE ;9341;Veenhuizen;3;157;18
CNO Gerkesklooster;Gerkesklooster;Hoogstraten 16;9873 PE;9873;Gerkesklooster;3;46;16
CNO Leiderdorp;Leiderdorp;Bloemerd 6; 2353 BZ; 2353;Leiderdorp;3;120;7
CNO Tilburg;Tilburg2;Ringbaan Noord 7; 5013 EA; 5013;Tilburg;3;224;7
CNO Waalwijk;Waalwijk;De Gaard 2; 5146AW; 5146;Waalwijk;3;94;3
